796,120,90;869,129,45;880,186,0;
794,120,90;868,128,45;880,186,0;
792,120,90;867,127,45;880,184,0;
790,120,90;866,126,45;880,184,0;
788,120,90;865,125,45;880,182,0;
786,120,90;864,124,45;880,180,0;
784,120,90;863,123,45;880,180,0;
782,120,90;862,122,45;880,178,0;
780,120,90;861,121,45;880,176,0;
778,120,90;860,120,45;880,176,0;
776,120,90;858,120,90;880,174,0;
774,120,90;856,120,90;880,174,0;
772,120,90;854,120,90;880,174,0;
770,120,90;852,120,90;880,172,0;
768,120,90;850,120,90;880,170,0;
766,120,90;848,120,90;880,170,0;
764,120,90;846,120,90;880,168,0;
762,120,90;844,120,90;880,168,0;
760,120,90;842,120,90;880,166,0;
758,120,90;840,120,90;880,164,0;
756,120,90;838,120,90;880,162,0;
754,120,90;836,120,90;880,160,0;
752,120,90;834,120,90;880,158,0;
750,120,90;832,120,90;880,156,0;
748,120,90;830,120,90;880,154,0;
746,120,90;828,120,90;880,152,0;
744,120,90;826,120,90;880,150,0;
742,120,90;824,120,90;880,148,0;
740,120,90;822,120,90;880,146,0;
738,120,90;820,120,90;880,144,0;
736,120,90;818,120,90;880,142,0;
734,120,90;816,120,90;880,140,0;
732,120,90;814,120,90;879,139,45;
730,120,90;812,120,90;878,138,45;
728,120,90;810,120,90;877,137,45;
726,120,90;808,120,90;876,136,45;
724,120,90;806,120,90;875,135,45;
722,120,90;804,120,90;874,134,45;
720,120,90;802,120,90;873,133,45;
718,120,90;800,120,90;872,132,45;
716,120,90;798,120,90;871,131,45;
714,120,90;796,120,90;870,130,45;
712,120,90;794,120,90;869,129,45;
710,120,90;792,120,90;868,128,45;
708,120,90;790,120,90;867,127,45;
706,120,90;788,120,90;866,126,45;
704,120,90;786,120,90;865,125,45;
702,120,90;784,120,90;864,124,45;
700,120,90;782,120,90;863,123,45;
698,120,90;780,120,90;862,122,45;
696,120,90;778,120,90;861,121,45;
694,120,90;776,120,90;860,120,45;
692,120,90;774,120,90;858,120,90;
690,120,90;772,120,90;856,120,90;
688,120,90;770,120,90;854,120,90;
686,120,90;768,120,90;852,120,90;
684,120,90;766,120,90;850,120,90;
682,120,90;764,120,90;848,120,90;
680,120,90;762,120,90;846,120,90;
678,120,90;760,120,90;844,120,90;
676,120,90;758,120,90;842,120,90;
674,120,90;756,120,90;840,120,90;
672,120,90;754,120,90;838,120,90;
670,120,90;752,120,90;836,120,90;
668,120,90;750,120,90;834,120,90;
666,120,90;748,120,90;832,120,90;
664,120,90;746,120,90;830,120,90;
662,120,90;744,120,90;828,120,90;
660,120,90;742,120,90;826,120,90;
658,120,90;740,120,90;824,120,90;
656,120,90;738,120,90;822,120,90;
654,120,90;736,120,90;820,120,90;
652,120,90;734,120,90;818,120,90;
650,120,90;732,120,90;816,120,90;
648,120,90;730,120,90;814,120,90;
646,120,90;728,120,90;812,120,90;
644,120,90;726,120,90;810,120,90;
642,120,90;724,120,90;808,120,90;
640,120,90;722,120,90;806,120,90;
638,120,90;720,120,90;804,120,90;
636,120,90;718,120,90;802,120,90;
634,120,90;716,120,90;800,120,90;
632,120,90;714,120,90;798,120,90;
630,120,90;712,120,90;796,120,90;
